contract_ticker,etf,mode,spec,direction,bar_freq,K,n_ylags,wald_chi2,wald_df,p_value,p_fdr,n_obs,n_days,n_active,cov_type,contract_title
KXECKH276,VFH,calendar,linear,kalshi->etf,10min,3,0,20.560963051319955,3,0.00012985723402776834,0.0011687151062499152,128,6,8,hac-panel,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VFH,calendar,linear,etf->kalshi,10min,3,1,3.5170807204641354,3,0.3185535562872573,0.7055266497595182,128,6,124,hac-panel,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VFH,calendar,probit,kalshi->etf,10min,3,0,0.17191021726578423,3,0.981991243294624,0.9869970394921197,123,6,8,hac-panel,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VFH,event,linear,kalshi->etf,10min,3,0,1.619992286223645,3,0.6548652468277738,0.8595106364614532,15,1,7,hac-panel,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VFH,event,linear,etf->kalshi,10min,3,3,7.194637092020678,3,0.0659460954742873,0.17310850062000419,15,1,15,hac-panel,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VFH,event,probit,kalshi->etf,10min,3,0,0.2627034594550627,3,0.9668832145669456,0.9668832145669456,15,1,8,hac-panel,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECDJT316,VFH,calendar,linear,kalshi->etf,10min,4,1,4.240960590819809,4,0.37437647710424715,0.5939251856943346,177,7,15,hac-panel,"Will Trump win 316-222 - AZ, GA, MI, MN, NC, PA, WI?"
KXECDJT316,VFH,calendar,linear,etf->kalshi,10min,4,1,5.668354551121277,4,0.22532253952991865,0.7055266497595182,177,7,170,hac-panel,"Will Trump win 316-222 - AZ, GA, MI, MN, NC, PA, WI?"
KXECDJT316,VFH,calendar,probit,kalshi->etf,10min,4,2,5.478045984336657,4,0.24166600592337667,0.5858877540188221,170,7,16,hac-panel,"Will Trump win 316-222 - AZ, GA, MI, MN, NC, PA, WI?"
KXECKH276,VIS,calendar,linear,kalshi->etf,10min,3,0,22.169481741554524,3,6.01430119979009e-05,0.0008119306619716622,128,6,8,hac-panel,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VIS,calendar,linear,etf->kalshi,10min,3,1,3.593095519779485,3,0.30888714670275913,0.7055266497595182,128,6,126,hac-panel,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VIS,calendar,probit,kalshi->etf,10min,3,0,23.926570631822816,3,2.5877435572833027e-05,0.0006986907604664917,126,6,8,hac-panel,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VIS,event,linear,kalshi->etf,10min,3,1,6.1588388128293525,3,0.1041329717565552,0.21867924068876593,15,1,7,hac-panel,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VIS,event,linear,etf->kalshi,10min,3,3,12.18880357222628,3,0.006763605352291638,0.0355089280995311,15,1,15,hac-panel,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VIS,event,probit,kalshi->etf,10min,3,0,4.45047621351492,3,0.2167504629563046,0.4716723791601424,15,1,8,hac-panel,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH287,VNQ,calendar,linear,kalshi->etf,10min,3,0,1.6576862695308527,3,0.6463817081499292,0.7271794216686704,106,5,10,hac-panel,"Will Harris win 287-251 - PA, NV, MI, WI, AZ?"
KXECKH287,VNQ,calendar,linear,etf->kalshi,10min,3,1,3.4459409021742045,3,0.32784138243856503,0.7055266497595182,106,5,102,hac-panel,"Will Harris win 287-251 - PA, NV, MI, WI, AZ?"
KXECKH287,VNQ,calendar,probit,kalshi->etf,10min,3,0,5.700528768405484,3,0.1271247773469951,0.42904612354610844,102,5,9,hac-panel,"Will Harris win 287-251 - PA, NV, MI, WI, AZ?"
KXECKH287,VNQ,event,linear,kalshi->etf,10min,3,3,12.710704924934387,3,0.005305882819176337,0.01857058986711718,12,2,7,hac-panel,"Will Harris win 287-251 - PA, NV, MI, WI, AZ?"
KXECKH287,VNQ,event,linear,etf->kalshi,10min,3,3,41.763041452416154,3,4.504595440697137e-09,9.459650425463989e-08,12,2,12,hac-panel,"Will Harris win 287-251 - PA, NV, MI, WI, AZ?"
KXECKH287,VNQ,event,probit,kalshi->etf,10min,3,3,13.811267720438261,3,0.00317363697949449,0.022503931456925003,12,2,7,hac-panel,"Will Harris win 287-251 - PA, NV, MI, WI, AZ?"
KXECKH276,VCR,calendar,linear,kalshi->etf,10min,3,0,7.200095326235342,3,0.0657862645121253,0.1973587935363759,128,6,8,hac-panel,"Will Harris win 276-262 - PA, NV, MI, WI?"
