contract_ticker,etf,mode,spec,direction,bar_freq,K,n_ylags,wald_chi2,wald_df,p_value,n_obs,n_days,n_active,cov_type,contract_title
KXECKH276,VFH,calendar,linear,kalshi->etf,10min,3,0,20.560963051319955,3,0.00012985723402776834,128,6,8,hac-panel,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VFH,calendar,linear,etf->kalshi,10min,3,1,3.5170807204641354,3,0.3185535562872573,128,6,124,hac-panel,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VFH,event,linear,kalshi->etf,10min,3,0,1.619992286223645,3,0.6548652468277738,15,1,7,hac-panel,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VFH,event,linear,etf->kalshi,10min,3,3,7.194637092020678,3,0.0659460954742873,15,1,15,hac-panel,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECDJT316,VFH,calendar,linear,kalshi->etf,10min,4,1,4.240960590819809,4,0.37437647710424715,177,7,15,hac-panel,"Will Trump win 316-222 - AZ, GA, MI, MN, NC, PA, WI?"
KXECDJT316,VFH,calendar,linear,etf->kalshi,10min,4,1,5.668354551121277,4,0.22532253952991865,177,7,170,hac-panel,"Will Trump win 316-222 - AZ, GA, MI, MN, NC, PA, WI?"
KXECKH276,VIS,calendar,linear,kalshi->etf,10min,3,0,22.169481741554524,3,6.01430119979009e-05,128,6,8,hac-panel,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VIS,calendar,linear,etf->kalshi,10min,3,1,3.593095519779485,3,0.30888714670275913,128,6,126,hac-panel,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VIS,event,linear,kalshi->etf,10min,3,1,6.1588388128293525,3,0.1041329717565552,15,1,7,hac-panel,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VIS,event,linear,etf->kalshi,10min,3,3,12.18880357222628,3,0.006763605352291638,15,1,15,hac-panel,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH287,VNQ,calendar,linear,kalshi->etf,10min,3,0,1.6576862695308527,3,0.6463817081499292,106,5,10,hac-panel,"Will Harris win 287-251 - PA, NV, MI, WI, AZ?"
KXECKH287,VNQ,calendar,linear,etf->kalshi,10min,3,1,3.4459409021742045,3,0.32784138243856503,106,5,102,hac-panel,"Will Harris win 287-251 - PA, NV, MI, WI, AZ?"
KXECKH287,VNQ,event,linear,kalshi->etf,10min,3,3,12.710704924934387,3,0.005305882819176337,12,2,7,hac-panel,"Will Harris win 287-251 - PA, NV, MI, WI, AZ?"
KXECKH287,VNQ,event,linear,etf->kalshi,10min,3,3,41.763041452416154,3,4.504595440697137e-09,12,2,12,hac-panel,"Will Harris win 287-251 - PA, NV, MI, WI, AZ?"
KXECKH276,VCR,calendar,linear,kalshi->etf,10min,3,0,7.200095326235342,3,0.0657862645121253,128,6,8,hac-panel,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VCR,calendar,linear,etf->kalshi,10min,3,1,2.8330395055547175,3,0.4180898665241589,128,6,126,hac-panel,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VCR,event,linear,kalshi->etf,10min,3,0,1.9110322233254133,3,0.5910760198028779,15,1,7,hac-panel,"Will Harris win 276-262 - PA, NV, MI, WI?"
