contract_ticker,etf,mode,bar_freq,K_chosen,k_lag,direction,coef,t_stat,p_value,p_fdr,r_squared,n_obs,n_days,n_params,n_active,n_ylags,n_active_events,r2_daily_screen,contract_title
KXECKH276,VFH,event,10min,3,-3,etf_leads_kalshi,-0.0011223599406231849,-0.11471569649926734,0.9086704720588785,0.9879891792740974,0.9815452704961343,12,1,11,7,3,22,0.8816564277734555,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VFH,event,10min,3,-2,etf_leads_kalshi,0.00015011191536898723,0.015053899982771658,0.9879891792740974,0.9879891792740974,0.9815452704961343,12,1,11,7,3,22,0.8816564277734555,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VFH,event,10min,3,-1,etf_leads_kalshi,0.0021275315837201167,0.5938005067302797,0.5526455500990136,0.9879891792740974,0.9815452704961343,12,1,11,7,3,22,0.8816564277734555,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VFH,event,10min,3,0,contemp,0.00031895840279916906,0.034688421618088924,0.9723281935825164,0.9879891792740974,0.9815452704961343,12,1,11,7,3,22,0.8816564277734555,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VFH,event,10min,3,1,kalshi_leads_etf,0.0017017030471460446,0.45481360597859916,0.6492433409257096,0.9879891792740974,0.9815452704961343,12,1,11,7,3,22,0.8816564277734555,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VFH,event,10min,3,2,kalshi_leads_etf,0.0013905082055116053,0.48660270545819106,0.6265399059322463,0.9879891792740974,0.9815452704961343,12,1,11,7,3,22,0.8816564277734555,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VFH,event,10min,3,3,kalshi_leads_etf,-0.0008640296498494064,-0.17662660404164596,0.8598016956205281,0.9879891792740974,0.9815452704961343,12,1,11,7,3,22,0.8816564277734555,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VIS,event,10min,3,-3,etf_leads_kalshi,0.00017037796467218253,0.5463508885910859,0.58482476201755,0.6822955556871416,0.5197321555973016,12,1,8,7,0,22,0.7648119234989674,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VIS,event,10min,3,-2,etf_leads_kalshi,0.00024182246214938283,0.6633515627959604,0.5071054200429806,0.6822955556871416,0.5197321555973016,12,1,8,7,0,22,0.7648119234989674,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VIS,event,10min,3,-1,etf_leads_kalshi,0.0004936219229390078,0.8790622621749009,0.3793675179228744,0.6822955556871416,0.5197321555973016,12,1,8,7,0,22,0.7648119234989674,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VIS,event,10min,3,0,contemp,0.0005326128637222058,0.7584810466264658,0.44816305529428846,0.6822955556871416,0.5197321555973016,12,1,8,7,0,22,0.7648119234989674,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VIS,event,10min,3,1,kalshi_leads_etf,0.0004011225378994328,0.7709988612970905,0.4407076065401456,0.6822955556871416,0.5197321555973016,12,1,8,7,0,22,0.7648119234989674,"Will Harris win 276-262 - PA, NV, MI, WI?"
