contract_ticker,etf,mode,bar,K_chosen,k_lag,direction,beta,z_stat,p_value,p_fdr,pseudo_r2,n_obs,n_up,n_total,contract_title
FEDDECISION-24SEP-C25,VDC,calendar,2min,8,-8,etf_leads_kalshi,-0.01913370407010476,-0.27803987945646635,0.7809817458244013,0.8659693158959862,0.00016803728746084268,446,232,468,Will the Federal Reserve Cut rates by 25bps at their September 2024 meeting?
FEDDECISION-24SEP-C25,VDC,calendar,2min,8,-7,etf_leads_kalshi,-0.0459723819209109,-1.8608611289209154,0.06276379029721095,0.30212185313725365,0.0009448424457894067,447,233,468,Will the Federal Reserve Cut rates by 25bps at their September 2024 meeting?
FEDDECISION-24SEP-C25,VDC,calendar,2min,8,-6,etf_leads_kalshi,-0.04245497189609058,-0.6634939533325952,0.5070142508257738,0.8619242264038154,0.0008332386312769335,448,233,468,Will the Federal Reserve Cut rates by 25bps at their September 2024 meeting?
FEDDECISION-24SEP-C25,VDC,calendar,2min,8,-5,etf_leads_kalshi,-0.06788020892002371,-1.7014454731252389,0.08885936856978048,0.30212185313725365,0.002090821889840111,449,233,468,Will the Federal Reserve Cut rates by 25bps at their September 2024 meeting?
FEDDECISION-24SEP-C25,VDC,calendar,2min,8,-4,etf_leads_kalshi,0.08678653545839655,1.951212162527187,0.05103181275640162,0.30212185313725365,0.0032435885622522642,450,234,468,Will the Federal Reserve Cut rates by 25bps at their September 2024 meeting?
FEDDECISION-24SEP-C25,VDC,calendar,2min,8,-3,etf_leads_kalshi,-0.05792646086505763,-1.710836114775879,0.08711137064758347,0.30212185313725365,0.0015560377354681965,451,234,468,Will the Federal Reserve Cut rates by 25bps at their September 2024 meeting?
FEDDECISION-24SEP-C25,VDC,calendar,2min,8,-2,etf_leads_kalshi,-0.011308544779584876,-0.12350704690778705,0.9017055943907499,0.9017055943907499,5.7792180057747444e-05,452,234,468,Will the Federal Reserve Cut rates by 25bps at their September 2024 meeting?
FEDDECISION-24SEP-C25,VDC,calendar,2min,8,-1,etf_leads_kalshi,-0.054114107347517794,-1.6102074729958094,0.1073525705278476,0.30416561649556817,0.0013023650474591753,453,234,468,Will the Federal Reserve Cut rates by 25bps at their September 2024 meeting?
FEDDECISION-24SEP-C25,VDC,calendar,2min,8,0,contemp,0.01578296776769192,0.4431069450843951,0.6576883819714532,0.8659693158959862,0.00011434361316420283,454,234,468,Will the Federal Reserve Cut rates by 25bps at their September 2024 meeting?
FEDDECISION-24SEP-C25,VDC,calendar,2min,8,1,kalshi_leads_etf,0.01105094425763967,0.26405507556955604,0.7917374800966192,0.8659693158959862,5.071273988810354e-05,453,234,468,Will the Federal Reserve Cut rates by 25bps at their September 2024 meeting?
