contract_ticker,etf,mode,bar,K_chosen,k_lag,direction,beta,z_stat,p_value,p_fdr,pseudo_r2,n_obs,n_up,n_total,contract_title
FEDDECISION-24SEP-C25,VDC,calendar,2min,8,-8,etf_leads_kalshi,0.017084223917023494,0.2528920821163493,0.8003516082007659,0.9021165256287521,0.0001340498064120732,455,237,477,Will the Federal Reserve Cut rates by 25bps at their September 2024 meeting?
FEDDECISION-24SEP-C25,VDC,calendar,2min,8,-7,etf_leads_kalshi,-0.09960919989436791,-2.5279245382588584,0.011473901050139335,0.09752815892618436,0.004279617703315086,456,238,477,Will the Federal Reserve Cut rates by 25bps at their September 2024 meeting?
FEDDECISION-24SEP-C25,VDC,calendar,2min,8,-6,etf_leads_kalshi,-0.0053037981494885676,-0.12298809446742266,0.9021165256287521,0.9021165256287521,1.2952126740128911e-05,457,238,477,Will the Federal Reserve Cut rates by 25bps at their September 2024 meeting?
FEDDECISION-24SEP-C25,VDC,calendar,2min,8,-5,etf_leads_kalshi,-0.06334171557070842,-1.65737981575391,0.09744270956121832,0.5521753541802371,0.0018261318324515052,458,238,477,Will the Federal Reserve Cut rates by 25bps at their September 2024 meeting?
FEDDECISION-24SEP-C25,VDC,calendar,2min,8,-4,etf_leads_kalshi,0.051236546137043405,1.3986019744916984,0.16193237392498538,0.6587419048049029,0.0011630534056487063,459,239,477,Will the Federal Reserve Cut rates by 25bps at their September 2024 meeting?
FEDDECISION-24SEP-C25,VDC,calendar,2min,8,-3,etf_leads_kalshi,-0.009359168012989607,-0.24265645136483857,0.8082715459870129,0.9021165256287521,4.0262474839680706e-05,460,239,477,Will the Federal Reserve Cut rates by 25bps at their September 2024 meeting?
FEDDECISION-24SEP-C25,VDC,calendar,2min,8,-2,etf_leads_kalshi,-0.04984643610803968,-0.6565482730434021,0.5114714184532838,0.9021165256287521,0.0010971723793027355,461,239,477,Will the Federal Reserve Cut rates by 25bps at their September 2024 meeting?
FEDDECISION-24SEP-C25,VDC,calendar,2min,8,-1,etf_leads_kalshi,-0.035629685536020965,-1.2745089660089481,0.202483097146391,0.6587419048049029,0.0005755629071786394,462,239,477,Will the Federal Reserve Cut rates by 25bps at their September 2024 meeting?
FEDDECISION-24SEP-C25,VDC,calendar,2min,8,0,contemp,0.018323086638039606,0.47315411183503364,0.6361032335193493,0.9021165256287521,0.00015419127078197814,463,239,477,Will the Federal Reserve Cut rates by 25bps at their September 2024 meeting?
FEDDECISION-24SEP-C25,VDC,calendar,2min,8,1,kalshi_leads_etf,0.008135588046676618,0.18619276489057054,0.8522935975346323,0.9021165256287521,2.750788631977752e-05,462,238,477,Will the Federal Reserve Cut rates by 25bps at their September 2024 meeting?
FEDDECISION-24SEP-C25,VDC,calendar,2min,8,2,kalshi_leads_etf,-0.06819502847774486,-1.1939509824694434,0.2324971428723187,0.6587419048049029,0.001874274704059653,461,238,477,Will the Federal Reserve Cut rates by 25bps at their September 2024 meeting?
FEDDECISION-24SEP-C25,VDC,calendar,2min,8,3,kalshi_leads_etf,-0.03266478132786447,-0.5948655127488601,0.5519333716697371,0.9021165256287521,0.0003893019830205624,460,237,477,Will the Federal Reserve Cut rates by 25bps at their September 2024 meeting?
FEDDECISION-24SEP-C25,VDC,calendar,2min,8,4,kalshi_leads_etf,0.02086780003961094,0.3651457890894043,0.7150025823958821,0.9021165256287521,0.00015775753356028765,459,237,477,Will the Federal Reserve Cut rates by 25bps at their September 2024 meeting?
FEDDECISION-24SEP-C25,VDC,calendar,2min,8,5,kalshi_leads_etf,0.22630591886531048,3.075303644830427,0.002102883433848433,0.035749018375423366,0.015305537123870727,458,237,477,Will the Federal Reserve Cut rates by 25bps at their September 2024 meeting?
FEDDECISION-24SEP-C25,VDC,calendar,2min,8,6,kalshi_leads_etf,-0.027091709096812695,-0.3262676168339096,0.7442218868457284,0.9021165256287521,0.0002619114432503844,457,236,477,Will the Federal Reserve Cut rates by 25bps at their September 2024 meeting?
FEDDECISION-24SEP-C25,VDC,calendar,2min,8,7,kalshi_leads_etf,-0.06453228237633218,-0.8616865211280575,0.38886004482574177,0.8263275952547012,0.0015290241155521134,456,235,477,Will the Federal Reserve Cut rates by 25bps at their September 2024 meeting?
FEDDECISION-24SEP-C25,VDC,calendar,2min,8,8,kalshi_leads_etf,0.04489768303903563,1.055751570269499,0.2910817295055663,0.7069127716563753,0.000743604028298317,455,235,477,Will the Federal Reserve Cut rates by 25bps at their September 2024 meeting?
FEDDECISION-24SEP-C25,VDC,event,2min,8,-8,etf_leads_kalshi,0.050345112942793036,0.564802914864781,0.5722078242001838,0.8106277509502603,0.0011502723725170805,461,233,477,Will the Federal Reserve Cut rates by 25bps at their September 2024 meeting?
FEDDECISION-24SEP-C25,VDC,event,2min,8,-7,etf_leads_kalshi,-0.08936552701253582,-2.96901469811381,0.002987563059516694,0.0253942860058919,0.0034918449913778904,462,234,477,Will the Federal Reserve Cut rates by 25bps at their September 2024 meeting?
FEDDECISION-24SEP-C25,VDC,event,2min,8,-6,etf_leads_kalshi,0.03649180799368213,0.8761923687599711,0.3809254644221569,0.6873969351347332,0.0006020910354247455,463,234,477,Will the Federal Reserve Cut rates by 25bps at their September 2024 meeting?
FEDDECISION-24SEP-C25,VDC,event,2min,8,-5,etf_leads_kalshi,-0.07573604319176114,-4.022209947911202,5.76546311377566e-05,0.0009801287293418623,0.0025836243627477273,464,234,477,Will the Federal Reserve Cut rates by 25bps at their September 2024 meeting?
FEDDECISION-24SEP-C25,VDC,event,2min,8,-4,etf_leads_kalshi,0.06212778388220303,1.2930221774322832,0.1960033888820255,0.4165072013743042,0.001693431497551301,465,235,477,Will the Federal Reserve Cut rates by 25bps at their September 2024 meeting?
FEDDECISION-24SEP-C25,VDC,event,2min,8,-3,etf_leads_kalshi,0.00668554227565345,0.21420966063350894,0.8303835628356762,0.8822825355129059,2.035193009708447e-05,466,235,477,Will the Federal Reserve Cut rates by 25bps at their September 2024 meeting?
FEDDECISION-24SEP-C25,VDC,event,2min,8,-2,etf_leads_kalshi,-0.03482532751351306,-0.36198177224169986,0.7173656517522674,0.8130144053192364,0.0005409256449071531,467,235,477,Will the Federal Reserve Cut rates by 25bps at their September 2024 meeting?
FEDDECISION-24SEP-C25,VDC,event,2min,8,-1,etf_leads_kalshi,-0.09503212694277548,-1.5688754173166535,0.11667697092403002,0.3065949942774231,0.003972718343149051,468,235,477,Will the Federal Reserve Cut rates by 25bps at their September 2024 meeting?
FEDDECISION-24SEP-C25,VDC,event,2min,8,0,contemp,0.04390821347560804,0.8338755110530496,0.40435113831454894,0.6873969351347332,0.0008903472214618624,469,235,477,Will the Federal Reserve Cut rates by 25bps at their September 2024 meeting?
FEDDECISION-24SEP-C25,VDC,event,2min,8,1,kalshi_leads_etf,0.04600738071736142,0.7433048860855384,0.45729711406901885,0.706731903561211,0.0008631344439022914,468,234,477,Will the Federal Reserve Cut rates by 25bps at their September 2024 meeting?
FEDDECISION-24SEP-C25,VDC,event,2min,8,2,kalshi_leads_etf,-0.0583434395554637,-1.5290784473264265,0.1262449976436448,0.3065949942774231,0.0013730792810815462,467,234,477,Will the Federal Reserve Cut rates by 25bps at their September 2024 meeting?
FEDDECISION-24SEP-C25,VDC,event,2min,8,3,kalshi_leads_etf,-0.07779005451227151,-1.5907326419887908,0.11166975753625177,0.3065949942774231,0.002159584840527362,466,233,477,Will the Federal Reserve Cut rates by 25bps at their September 2024 meeting?
FEDDECISION-24SEP-C25,VDC,event,2min,8,4,kalshi_leads_etf,-0.027346502768787553,-0.44136448690284014,0.6589491476220241,0.8130144053192364,0.0002691697973077334,465,233,477,Will the Federal Reserve Cut rates by 25bps at their September 2024 meeting?
FEDDECISION-24SEP-C25,VDC,event,2min,8,5,kalshi_leads_etf,0.19150763225348172,2.530863673871396,0.011378206234293194,0.0644765019943281,0.011464729150401087,464,233,477,Will the Federal Reserve Cut rates by 25bps at their September 2024 meeting?
FEDDECISION-24SEP-C25,VDC,event,2min,8,6,kalshi_leads_etf,-0.032313086110429746,-0.3941545524474269,0.6934669371304583,0.8130144053192364,0.00037307130090613594,463,232,477,Will the Federal Reserve Cut rates by 25bps at their September 2024 meeting?
